phrases
Scan\s+the\s+QR\s+code\s+with\s+the\s+camera\s+program\s+on\s+your\s+mobile\s+device\s+to\s+access\s+your
Hu?ma/n\s+Re?so?u?rce/Pa?yro?ll shared a
micrsoft
mcrsft
mcrsoft
mcrosoft
please\s+reactivate
mfa
access\s+expires\s+soon
locked\s+out\s+of\s+your\s+email
avoid\s+service\s+interruption
action\s+is\s+required\s+immediately
mi?cro?so?ft\s+account\s+team
no\s+longer\s+active\s+on\s+your\s+organization
click\s+here\s+to\s+download\s+attachment
scan\s+to\s+preview
keep\s+using\s+your\s+mailbox
mailbox\s+is\s+full
pending\s+emails?
undelivered\s+emails?
scan\s+code\s+here\s+to\s+review
lack\s+of\s+email\s+validation
you\s+have\s+efax
review\s+security\s+update
microsoft\s+url
access\s+expiration\s+notice
scan\s+the\s+barco?de\s+to\s+revi?ew
scan\s+the\s+qr\s+code\.\s+when\s+do?cu?sign
mandated\s+to\s+update
security\s+authentication\s+
quickly\s+scan\s+above\s+qr
secure\s+your\s+current\s+password
review\s+security\s+requirements?\s+within
you\s+have\s+received\s+new\s+documents
sign\s+in\s+(microsoft)?\s+(sharepoint)?\s+to\s+get
sign\s+in\s+microsoft\s+sharepoint\s+to\s+get
pending\s+encrypted\s+file\s+shared\s+with\s+you
